Nombre d'accusatifs = 291
cs_fictree-ud-dev, Nearest=Acc, Distance=0.00375, Self=0.00543, Diff=0.00169
cs_fictree-ud-train, Nearest=Acc, Distance=0.00333, Self=0.00503, Diff=0.00170
cs_fictree-ud-test, Nearest=Acc, Distance=0.00355, Self=0.00514, Diff=0.00159
la_udante-ud-train, Nearest=Gen, Distance=0.00456, Self=0.00456, Diff=0.00000
la_udante-ud-test, Nearest=Gen, Distance=0.00370, Self=0.00370, Diff=0.00000
la_udante-ud-dev, Nearest=Gen, Distance=0.00453, Self=0.00453, Diff=0.00000
hyw_armtdp-ud-test, Nearest=Gen, Distance=0.00265, Self=0.00265, Diff=0.00000
hyw_armtdp-ud-dev, Nearest=Gen, Distance=0.00215, Self=0.00215, Diff=0.00000
hyw_armtdp-ud-train, Nearest=Gen, Distance=0.00228, Self=0.00228, Diff=0.00000
pcm_nsc-ud-train, Nearest=Dat, Distance=0.00685, Self=0.00943, Diff=0.00257
pcm_nsc-ud-test, Nearest=Gen, Distance=0.00516, Self=0.00516, Diff=0.00000
el_gdt-ud-test, Nearest=Gen, Distance=0.00453, Self=0.00453, Diff=0.00000
el_gdt-ud-train, Nearest=Gen, Distance=0.00403, Self=0.00403, Diff=0.00000
el_gdt-ud-dev, Nearest=Gen, Distance=0.00404, Self=0.00404, Diff=0.00000
sme_giella-ud-train, Nearest=Acc, Distance=0.00396, Self=0.00518, Diff=0.00123
sme_giella-ud-test, Nearest=Acc, Distance=0.00343, Self=0.00459, Diff=0.00116
gd_arcosg-ud-test, Nearest=Gen, Distance=0.00086, Self=0.00086, Diff=0.00000
gd_arcosg-ud-train, Nearest=Gen, Distance=0.00128, Self=0.00128, Diff=0.00000
gd_arcosg-ud-dev, Nearest=Gen, Distance=0.00174, Self=0.00174, Diff=0.00000
got_proiel-ud-dev, Nearest=Gen, Distance=0.00303, Self=0.00303, Diff=0.00000
got_proiel-ud-train, Nearest=Gen, Distance=0.00185, Self=0.00185, Diff=0.00000
got_proiel-ud-test, Nearest=Gen, Distance=0.00265, Self=0.00265, Diff=0.00000
sl_sst-ud-train, Nearest=Dat, Distance=0.00343, Self=0.00489, Diff=0.00147
sl_sst-ud-test, Nearest=Dat, Distance=0.00366, Self=0.00525, Diff=0.00159
sl_sst-ud-dev, Nearest=Nom, Distance=0.00287, Self=0.00325, Diff=0.00038
de_gsd-ud-train, Nearest=Gen, Distance=0.00284, Self=0.00284, Diff=0.00000
de_gsd-ud-dev, Nearest=Gen, Distance=0.00219, Self=0.00219, Diff=0.00000
de_gsd-ud-test, Nearest=Gen, Distance=0.00301, Self=0.00301, Diff=0.00000
ka_glc-ud-test, Nearest=Gen, Distance=0.00487, Self=0.00487, Diff=0.00000
aln_gps-ud-test, Nearest=Acc, Distance=0.00149, Self=0.00253, Diff=0.00104
kk_ktb-ud-test, Nearest=Gen, Distance=0.00354, Self=0.00354, Diff=0.00000
kk_ktb-ud-train, Nearest=Gen, Distance=0.00303, Self=0.00303, Diff=0.00000
cs_pdt-ud-test, Nearest=Gen, Distance=0.00101, Self=0.00101, Diff=0.00000
cs_pdt-ud-dev, Nearest=Gen, Distance=0.00089, Self=0.00089, Diff=0.00000
cs_pdt-ud-train, Nearest=Gen, Distance=0.00084, Self=0.00084, Diff=0.00000
ta_mwtt-ud-test, Nearest=Acc, Distance=0.00279, Self=0.00294, Diff=0.00015
ota_dudu-ud-test, Nearest=Acc, Distance=0.00321, Self=0.00484, Diff=0.00163
ug_udt-ud-test, Nearest=Gen, Distance=0.00324, Self=0.00324, Diff=0.00000
ug_udt-ud-dev, Nearest=Gen, Distance=0.00238, Self=0.00238, Diff=0.00000
ug_udt-ud-train, Nearest=Gen, Distance=0.00415, Self=0.00415, Diff=0.00000
lv_lvtb-ud-test, Nearest=Gen, Distance=0.00248, Self=0.00248, Diff=0.00000
lv_lvtb-ud-train, Nearest=Gen, Distance=0.00244, Self=0.00244, Diff=0.00000
lv_lvtb-ud-dev, Nearest=Gen, Distance=0.00253, Self=0.00253, Diff=0.00000
ta_ttb-ud-train, Nearest=Gen, Distance=0.00370, Self=0.00370, Diff=0.00000
ta_ttb-ud-dev, Nearest=Gen, Distance=0.00343, Self=0.00343, Diff=0.00000
ta_ttb-ud-test, Nearest=Gen, Distance=0.00357, Self=0.00357, Diff=0.00000
sga_dipwbg-ud-test, Nearest=Gen, Distance=0.00516, Self=0.00516, Diff=0.00000
ko_pud-ud-test, Nearest=Gen, Distance=0.00486, Self=0.00486, Diff=0.00000
xum_ikuvina-ud-test, Nearest=Gen, Distance=0.00516, Self=0.00516, Diff=0.00000
ru_pud-ud-test, Nearest=Gen, Distance=0.00095, Self=0.00095, Diff=0.00000
la_ittb-ud-dev, Nearest=Gen, Distance=0.00450, Self=0.00450, Diff=0.00000
la_ittb-ud-test, Nearest=Gen, Distance=0.00407, Self=0.00407, Diff=0.00000
la_ittb-ud-train, Nearest=Gen, Distance=0.00456, Self=0.00456, Diff=0.00000
qtd_sagt-ud-test, Nearest=Dat, Distance=0.00379, Self=0.00448, Diff=0.00069
qtd_sagt-ud-dev, Nearest=Nom, Distance=0.00354, Self=0.00412, Diff=0.00058
qtd_sagt-ud-train, Nearest=Gen, Distance=0.00198, Self=0.00198, Diff=0.00000
ga_cadhan-ud-test, Nearest=Gen, Distance=0.00176, Self=0.00176, Diff=0.00000
krl_kkpp-ud-test, Nearest=Nom, Distance=0.00227, Self=0.00317, Diff=0.00089
pl_pud-ud-test, Nearest=Dat, Distance=0.00490, Self=0.00831, Diff=0.00340
orv_torot-ud-test, Nearest=Dat, Distance=0.00510, Self=0.00778, Diff=0.00269
orv_torot-ud-dev, Nearest=Dat, Distance=0.00509, Self=0.00794, Diff=0.00285
orv_torot-ud-train, Nearest=Dat, Distance=0.00449, Self=0.00711, Diff=0.00262
cs_cac-ud-dev, Nearest=Gen, Distance=0.00294, Self=0.00294, Diff=0.00000
cs_cac-ud-train, Nearest=Gen, Distance=0.00154, Self=0.00154, Diff=0.00000
cs_cac-ud-test, Nearest=Gen, Distance=0.00115, Self=0.00115, Diff=0.00000
eu_bdt-ud-train, Nearest=Gen, Distance=0.00132, Self=0.00132, Diff=0.00000
eu_bdt-ud-test, Nearest=Gen, Distance=0.00131, Self=0.00131, Diff=0.00000
eu_bdt-ud-dev, Nearest=Gen, Distance=0.00143, Self=0.00143, Diff=0.00000
fi_ftb-ud-dev, Nearest=Gen, Distance=0.00131, Self=0.00131, Diff=0.00000
fi_ftb-ud-train, Nearest=Gen, Distance=0.00087, Self=0.00087, Diff=0.00000
fi_ftb-ud-test, Nearest=Gen, Distance=0.00088, Self=0.00088, Diff=0.00000
